Gene_name,Ensmbl,Hevin_logFC,Hevin_logCPM,Hevin_F,Hevin_PValue,Hevin_adjP,LPS_logFC,LPS_logCPM,LPS_F,LPS_PValue,LPS_adjP
Acsl4,ENSMUSG00000031278,-0.119988522,7.797407853,1.751586653,0.209603583,0.514749416,0.233606738,7.797407853,6.641143677,0.023733792,0.076931135
Acsl5,ENSMUSG00000024981,0.215173949,6.179749184,6.931768951,0.021389,0.130296374,0.864186467,6.179749184,110.6547631,1.56E-07,9.09E-06
Acsl6,ENSMUSG00000020333,0.211093689,-0.610290652,0.144999414,0.709815814,0.886307784,-0.114741612,-0.610290652,0.036823059,0.850937976,0.91908801
Acss1,ENSMUSG00000027452,0.139230543,3.152897105,0.27600488,0.608614895,0.838234895,-1.15021846,3.152897105,17.15791085,0.001280693,0.008174956
Acss2,ENSMUSG00000027605,0.133095004,4.533144365,0.647276923,0.436269319,0.728167146,-0.919962235,4.533144365,29.56099712,0.000135199,0.001516924
Acss3,ENSMUSG00000035948,0.95137498,-1.584792014,1.131258397,0.307817963,0.620918796,0.678354867,-1.584792014,0.563943795,0.466713745,0.647749376
Acta2,ENSMUSG00000035783,0.107020112,2.361147943,0.059210768,0.811733902,0.925904562,0.230567512,2.361147943,0.274123292,0.609825794,0.762269136
Actb,ENSMUSG00000029580,-0.074604509,12.53398039,0.49108018,0.496409122,0.768745921,-0.008558958,12.53398039,0.006449615,0.937275065,0.970789708
Actg1,ENSMUSG00000062825,-0.356687686,11.6584647,20.98899113,0.000583072,0.010637951,0.168138608,11.6584647,4.669587153,0.05096052,0.137863613
Actl6a,ENSMUSG00000027671,0.015244532,4.628929587,0.028970067,0.867598686,0.951127413,0.149040063,4.628929587,2.7518859,0.122247778,0.259655994
Actl6b,ENSMUSG00000029712,0.003200631,-1.513248098,2.99E-06,0.998648203,0.999679438,-0.14766629,-1.513248098,0.022369206,0.883518575,0.93820397
Actn1,ENSMUSG00000015143,0.185905456,7.139850917,5.670174696,0.034108174,0.173872925,-0.014101327,7.139850917,0.032521586,0.859806716,0.924053914
Actn2,ENSMUSG00000052374,-0.456047666,3.883913081,3.618857641,0.080649646,0.300853387,1.24149647,3.883913081,27.24025397,0.000194273,0.002004914
Actn4,ENSMUSG00000054808,-0.376196126,8.310614725,16.57193258,0.001458344,0.020468907,-0.078985006,8.310614725,0.732577294,0.408313378,0.594679971
Actr10,ENSMUSG00000021076,-0.133152077,6.04276112,3.3041947,0.093376544,0.325218762,0.220013608,6.04276112,9.010617845,0.010699605,0.042117746
Actr1a,ENSMUSG00000025228,-0.034232358,7.367933963,0.118385515,0.736567099,0.897463357,-0.057954265,7.367933963,0.338556313,0.571109744,0.733354538
Actr1b,ENSMUSG00000037351,-0.012735447,6.91707579,0.01450279,0.906077339,0.965362733,0.310117069,6.91707579,8.581142796,0.012262583,0.046739245
Actr2,ENSMUSG00000020152,-0.109852507,9.287614505,1.392401881,0.260182156,0.573402353,0.060231843,9.287614505,0.419433839,0.529049787,0.700788277
Actr3,ENSMUSG00000026341,-0.279401571,8.986304861,4.81665502,0.047944787,0.216645478,0.376782994,8.986304861,8.780107378,0.011507331,0.044524759
Actr3b,ENSMUSG00000056367,-0.15096352,-1.335315487,0.049664952,0.827282723,0.932159479,-1.836079597,-1.335315487,5.493607321,0.036532077,0.1072589
Actr5,ENSMUSG00000037761,0.123559701,3.496750535,1.032152016,0.329102331,0.639628002,-0.094060297,3.496750535,0.588268972,0.457470285,0.639640778
Actr6,ENSMUSG00000019948,0.230747914,2.091865287,1.03728705,0.327948722,0.638460656,-0.189206696,2.091865287,0.677396919,0.42605803,0.611520069
Actr8,ENSMUSG00000015971,0.091879318,4.771876139,0.700064558,0.418623534,0.71497243,-0.362490562,4.771876139,10.70533115,0.006433434,0.028512213
